timestamp,symbol,open,high,low,close,volume
1762478700,ADAUSDT,0.5368,0.5368,0.5368,0.5368,0.0
1762478700,AVAXUSDT,16.33,16.33,16.33,16.33,0.0
1762478700,BNBUSDT,955.15,955.15,955.15,955.15,0.163
1762478700,BTCUSDT,101849.14,101849.14,101849.14,101849.14,0.01078
1762478700,DOGEUSDT,0.16332,0.16332,0.16332,0.16332,0.0
1762478700,ETHUSDT,3330.71,3330.71,3330.71,3330.71,0.0
1762478700,LINKUSDT,14.86,14.86,14.86,14.86,0.0
1762478700,LTCUSDT,88.14,88.14,88.14,88.14,0.0
1762478700,SOLUSDT,157.09,157.12,156.73,156.88,2.244
1762478700,XRPUSDT,2.2247,2.2247,2.2186,2.2186,1156.2
1762479000,ADAUSDT,0.5359,0.5359,0.5356,0.5356,429.9
1762479000,AVAXUSDT,16.27,16.27,16.16,16.16,9.0
1762479000,BNBUSDT,951.04,953.1,949.16,949.16,7.433
1762479000,BTCUSDT,101548.9,101846.88,101150.32,101565.72,0.09189
1762479000,DOGEUSDT,0.16258,0.16258,0.16164,0.16164,1014.0
1762479000,ETHUSDT,3317.37,3317.37,3287.78,3287.78,0.2072
1762479000,LINKUSDT,14.68,14.68,14.68,14.68,0.45
1762479000,LTCUSDT,88.14,88.14,88.14,88.14,0.0
1762479000,SOLUSDT,156.85,156.86,155.22,155.22,19.299
1762479000,XRPUSDT,2.2116,2.2116,2.1969,2.1969,781.0
1762479300,ADAUSDT,0.5307,0.5318,0.5298,0.5318,343.3
1762479300,AVAXUSDT,16.13,16.13,16.12,16.12,55.36
1762479300,BNBUSDT,945.43,947.88,945.43,947.88,8.928
1762479300,BTCUSDT,101150.33,101150.33,101010.95,101010.95,0.00262
1762479300,DOGEUSDT,0.16138,0.16138,0.16135,0.16135,14881.0
1762479300,ETHUSDT,3282.84,3295.95,3279.91,3292.64,0.1103
1762479300,LINKUSDT,14.61,14.62,14.61,14.62,27.18
1762479300,LTCUSDT,87.42,87.42,87.42,87.42,0.047
1762479300,SOLUSDT,154.71,154.71,154.44,154.51,70.443
1762479300,XRPUSDT,2.1969,2.1969,2.1969,2.1969,0.0
1762479600,ADAUSDT,0.5323,0.5323,0.5323,0.5323,187.8
1762479600,AVAXUSDT,16.13,16.13,16.1,16.1,19.19
1762479600,BNBUSDT,949.71,949.71,947.75,947.75,0.28
1762479600,BTCUSDT,101305.73,101305.73,101302.39,101302.39,0.00078
1762479600,DOGEUSDT,0.1617,0.1617,0.1617,0.1617,337.0
1762479600,ETHUSDT,3288.54,3295.95,3288.54,3289.54,0.0568
1762479600,LINKUSDT,14.62,14.62,14.62,14.62,0.0
1762479600,LTCUSDT,88.01,88.01,88.01,88.01,0.62
1762479600,SOLUSDT,154.9,155.45,154.9,155.45,9.337
1762479600,XRPUSDT,2.2008,2.2008,2.2008,2.2008,4.2
1762479900,ADAUSDT,0.5323,0.5323,0.5323,0.5323,0.0
1762479900,AVAXUSDT,16.1,16.1,16.1,16.1,0.0
1762479900,BNBUSDT,949.69,949.69,949.69,949.69,0.002
1762479900,BTCUSDT,101000.01,101049.99,101000.0,101049.99,0.0058
1762479900,DOGEUSDT,0.16162,0.16162,0.16162,0.16162,15672.0
1762479900,ETHUSDT,3289.9,3302.28,3284.56,3302.28,3.7236
1762479900,LINKUSDT,14.62,14.62,14.62,14.62,0.0
1762479900,LTCUSDT,87.57,88.75,87.57,88.75,2.554
1762479900,SOLUSDT,155.45,155.45,155.45,155.45,0.0
1762479900,XRPUSDT,2.2008,2.2008,2.2008,2.2008,0.0
1762480200,ADAUSDT,0.5307,0.5307,0.5307,0.5307,18.8
1762480200,AVAXUSDT,16.13,16.13,16.13,16.13,0.31
1762480200,BNBUSDT,949.45,949.45,949.45,949.45,0.01
1762480200,BTCUSDT,101050.0,101269.99,101000.54,101269.5,0.04357
1762480200,DOGEUSDT,0.16168,0.16193,0.16168,0.16177,15812.0
1762480200,ETHUSDT,3308.07,3308.07,3294.92,3294.92,0.0584
1762480200,LINKUSDT,14.68,14.68,14.68,14.68,0.34
1762480200,LTCUSDT,88.75,88.75,88.75,88.75,0.0
1762480200,SOLUSDT,155.04,155.44,155.04,155.34,0.16
1762480200,XRPUSDT,2.1955,2.2064,2.1955,2.2043,30.9
1762480500,ADAUSDT,0.5307,0.5307,0.5307,0.5307,0.0
1762480500,AVAXUSDT,16.13,16.13,16.13,16.13,0.0
1762480500,BNBUSDT,948.39,948.39,948.39,948.39,0.045
1762480500,BTCUSDT,101004.19,101575.51,101003.85,101575.51,0.05112
1762480500,DOGEUSDT,0.16253,0.16277,0.16253,0.16277,14843.0
1762480500,ETHUSDT,3303.83,3327.12,3303.83,3327.12,0.2627
1762480500,LINKUSDT,14.68,14.68,14.68,14.68,0.0
1762480500,LTCUSDT,88.11,88.11,88.11,88.11,2.373
1762480500,SOLUSDT,155.78,156.96,155.78,156.96,9.16
1762480500,XRPUSDT,2.2044,2.2189,2.2043,2.2189,228.3
