timestamp,open,high,low,close,volume
1672535640,16541.42000000,16541.80000000,16537.24000000,16538.21000000,57.68235000
1672535700,16537.68000000,16540.82000000,16537.68000000,16538.66000000,33.18966000
1672535760,16538.66000000,16539.60000000,16534.11000000,16535.73000000,42.95619000
1672535820,16536.14000000,16537.00000000,16534.00000000,16537.00000000,34.75675000
1672535880,16536.58000000,16539.39000000,16536.00000000,16538.93000000,34.86074000
1672535940,16539.39000000,16539.39000000,16538.00000000,16538.59000000,33.79597000
1672536000,16539.04000000,16539.95000000,16537.76000000,16538.13000000,42.06514000
1672536060,16538.13000000,16538.47000000,16533.91000000,16535.10000000,63.56042000
1672536120,16535.39000000,16536.00000000,16533.69000000,16534.41000000,32.44477000
1672536180,16534.92000000,16534.92000000,16530.76000000,16532.21000000,78.99676000
1672536240,16532.21000000,16538.02000000,16531.67000000,16536.22000000,55.62053000
1672536300,16536.22000000,16536.64000000,16533.83000000,16534.38000000,47.05610000
1672536360,16534.38000000,16536.05000000,16533.24000000,16535.33000000,41.84059000
1672536420,16535.33000000,16535.71000000,16531.93000000,16533.27000000,52.68049000
1672536480,16533.09000000,16534.35000000,16531.79000000,16533.89000000,28.90992000
1672536540,16534.20000000,16535.15000000,16532.56000000,16534.60000000,38.95118000
1672536600,16534.02000000,16534.67000000,16532.32000000,16532.73000000,26.24595000
1672536660,16532.73000000,16534.16000000,16530.62000000,16532.50000000,55.91654000
1672536720,16532.50000000,16535.72000000,16532.08000000,16532.73000000,34.16425000
1672536780,16532.73000000,16533.46000000,16531.69000000,16532.66000000,27.64374000
1672536840,16532.95000000,16532.95000000,16531.09000000,16532.00000000,32.71525000
1672536900,16531.74000000,16536.25000000,16530.75000000,16535.62000000,70.63877000
1672536960,16535.62000000,16539.92000000,16534.70000000,16535.15000000,75.32019000
1672537020,16535.16000000,16536.51000000,16534.18000000,16536.50000000,45.13482000
1672537080,16536.51000000,16537.79000000,16534.31000000,16534.49000000,48.06181000
1672537140,16534.49000000,16536.01000000,16533.72000000,16535.19000000,35.50265000
1672537200,16535.19000000,16542.12000000,16534.19000000,16540.41000000,87.08721000
1672537260,16539.67000000,16543.38000000,16539.06000000,16542.89000000,67.03039000
1672537320,16543.26000000,16543.31000000,16539.24000000,16541.98000000,53.42553000
1672537380,16541.98000000,16542.72000000,16538.55000000,16539.90000000,67.83619000
1672537440,16539.90000000,16541.51000000,16537.75000000,16539.94000000,65.96856000
1672537500,16539.94000000,16542.47000000,16538.03000000,16541.44000000,65.87531000
1672537560,16542.00000000,16543.56000000,16540.02000000,16542.95000000,74.26233000
1672537620,16542.50000000,16543.72000000,16540.90000000,16541.42000000,75.94129000
1672537680,16541.83000000,16542.19000000,16539.76000000,16541.91000000,58.76517000
1672537740,16541.91000000,16547.23000000,16540.80000000,16546.33000000,81.36408000
1672537800,16546.76000000,16547.82000000,16543.80000000,16546.99000000,91.02034000
1672537860,16546.49000000,16547.90000000,16543.15000000,16543.57000000,97.09021000
1672537920,16543.57000000,16543.83000000,16540.09000000,16540.52000000,48.68389000
1672537980,16540.52000000,16544.77000000,16539.74000000,16543.95000000,58.79401000
1672538040,16543.55000000,16546.56000000,16543.55000000,16545.91000000,28.25337000
1672538100,16545.91000000,16547.89000000,16544.92000000,16547.48000000,66.48520000
1672538160,16547.48000000,16552.00000000,16546.65000000,16550.81000000,97.94552000
1672538220,16550.81000000,16556.80000000,16549.57000000,16553.35000000,165.19189000
1672538280,16553.35000000,16555.36000000,16549.28000000,16552.34000000,111.54809000
1672538340,16552.74000000,16553.43000000,16549.43000000,16551.47000000,37.22213000
1672538400,16551.47000000,16551.53000000,16542.23000000,16542.44000000,155.52693000
